Dataset,Classifier,KFoldIndex,FitTime,PredictionTime,Precision,F1Score,RocAucScore
dfNum,SVM_rbf_1200iters,0,121.95853449999959,2.2875951000000896,0.5475730148681711,0.5151187310901256,0.789617808771712
dfNum,SVM_rbf_1200iters,1,121.80888039999991,3.042530899999747,0.6232313035741783,0.6590912609335087,0.7929211974945553
dfNum,SVM_rbf_1200iters,2,123.71556710000004,3.1341097000004083,0.6994884254110562,0.7265026471504203,0.9183618484770066
dfNumNorm,SVM_rbf_1200iters,0,112.37742380000009,2.7381351999997605,0.7195578900542372,0.7474694562990123,0.16570180996966183
dfNumNorm,SVM_rbf_1200iters,1,121.04612799999995,2.801070299999992,0.7727171625575308,0.8135526611273299,0.9088084906785823
dfNumNorm,SVM_rbf_1200iters,2,120.4745168000004,2.660627200000363,0.7584991530788577,0.8045474057354917,0.12801076566938346
dfNumNormAll,SVM_rbf_1200iters,0,128.01441290000002,2.980966999999964,0.5142265642376854,0.4731490072369642,0.7954316807225794
dfNumNormAll,SVM_rbf_1200iters,1,149.90298129999974,2.7657188999996833,0.4954916420004448,0.4253279023990956,0.7830792770391235
dfNumNormAll,SVM_rbf_1200iters,2,143.52790120000054,2.6040831000000253,0.7800400362721782,0.8253118460744082,0.17764072253258695
dfNumOnly,SVM_rbf_1200iters,0,131.6363394,2.2129682000004323,0.35577531780929733,0.10992128217856889,0.8929046396639778
dfNumOnly,SVM_rbf_1200iters,1,145.66928310000003,2.716702300000179,0.5147227402604069,0.5170857950385643,0.7384856308109444
dfNumOnly,SVM_rbf_1200iters,2,139.18520519999947,2.3117119999997158,0.5354594761065581,0.49319619957814576,0.76982680149217
dfNumOnly10Feat,SVM_rbf_1200iters,0,32.42378700000063,0.8469975999996677,0.6608209146748336,0.6774802329743274,0.08440795736157079
dfNumOnly10Feat,SVM_rbf_1200iters,1,40.606542000000445,0.8786837000006926,0.5192054339829247,0.4667235980643325,0.2782374977672858
dfNumOnly10Feat,SVM_rbf_1200iters,2,34.75631749999957,1.0275133999994068,0.5341762622546923,0.5713386025128318,0.2992949596803676
dfNumOnly20Feat,SVM_rbf_1200iters,0,71.4181496000001,1.3944629999996323,0.5569490307458039,0.5275410972650477,0.8447013473356795
dfNumOnly20Feat,SVM_rbf_1200iters,1,79.04070200000024,1.5383892999998352,0.666894793573665,0.682517163217716,0.17711235933878763
dfNumOnly20Feat,SVM_rbf_1200iters,2,91.44289329999992,1.4736166000002413,0.62927096343696,0.633615150490362,0.8061252306536413
