,model,name,avg_fit_time,avg_score_time,r2,mse,mae,maxE
0,"nn (5,5,5)",BinAll,14.596602837244669,0.015629291534423828,0.02544348680099821,4635.496001464603,51.71369902877035,288.7737208722929
1,"nn (5,5,5)",BinAllNoDay,14.555425882339478,0.015628655751546223,0.2785440916368431,3447.3955223917724,44.5257901312062,263.1323030268291
2,"nn (5,5,5)",BinAllNoDayNoOut,10.872205893198648,0.015616496404012045,0.3245784284931134,3265.0449279535947,44.6403185066369,250.90432227617407
3,"nn (5,5,5)",BinAllNoDayNoOut20Attr,10.850509405136108,0.010417699813842773,-0.49395785592442726,7236.824645706354,64.4241453894764,288.569780010735
4,"nn (5,5,5)",BinAllNoDayNoOut10Attr,9.825159788131714,0.010405699412027994,-0.310450648525135,6231.406436194994,61.25212905610672,247.15572993958844
5,"nn (30,30,30)",BinAll,27.381668090820312,0.09896167119344075,-1.8260623484508463,13337.782163701166,85.37494785936548,475.6280254810801
6,"nn (30,30,30)",BinAllNoDay,25.84296162923177,0.0885470708211263,-0.5841502619831626,7660.529550284108,66.25316517213393,313.2632565590414
7,"nn (30,30,30)",BinAllNoDayNoOut,21.008538484573364,0.06771024068196614,-0.6418477491891189,7778.296108163365,65.78816769090142,334.1909608996901
8,"nn (30,30,30)",BinAllNoDayNoOut20Attr,19.6350679397583,0.052086591720581055,-7.3593405062164505,39751.047558299724,147.74723777751285,560.2886488309117
9,"nn (30,30,30)",BinAllNoDayNoOut10Attr,19.139367659886677,0.05730477968851725,-1.8264040377148951,13738.069090118777,96.65407391691262,312.6492760342005
10,"nn (30,50,40,30,20)",BinAll,48.1463782787323,0.1666565736134847,-0.5921292118419317,7469.749801964022,63.34232170811615,361.8095709828849
11,"nn (30,50,40,30,20)",BinAllNoDay,46.975032329559326,0.19326559702555338,-0.4559586233790324,7039.071620412625,59.87038116897065,384.1949197304425
12,"nn (30,50,40,30,20)",BinAllNoDayNoOut,37.54504410425822,0.14583730697631836,-0.0611575500724841,5124.859799547387,52.02057975969319,341.29612847762354
13,"nn (30,50,40,30,20)",BinAllNoDayNoOut20Attr,37.15674082438151,0.14583547910054526,-7.193844184111218,38500.72242094976,145.12093735625166,635.479823719433
14,"nn (30,50,40,30,20)",BinAllNoDayNoOut10Attr,35.99863831202189,0.14583953221638998,-52.40501552600131,261800.60151013182,341.66726056323887,941.7068576405028
